All_within_Treatment	All_between_Treatment	Control_vs._Control	No_Tx_vs._No_Tx	Recovery_vs._Recovery	Experimental_vs._Experimental	Control_vs._No_Tx	Control_vs._Recovery	Control_vs._Experimental	No_Tx_vs._Recovery	No_Tx_vs._Experimental	Recovery_vs._Experimental
0.24187843057532	0.973231064237776	0.24187843057532	0.783601168736304	0.856991578841208	0.999643874643875	0.973231064237776	0.656450009938382	0.920465463862496	0.905169654289372	0.930429163749933	0.886805280154099
0.523650482194297	0.446413196175284	0.523650482194297	0.302968648848608	0.844645613449585	0.774173992118824	0.446413196175284	0.871091135124797	0.99984756097561	0.933015276372223	0.999845643281624	0.999833845642602
0.408815455534262	0.93207581807334	0.408815455534262	0.525183258453535	0.847920233658979	1	0.93207581807334	0.666560229903409	0.935748792270531	0.915712506528464	0.892876272094269	0.903654993118214
0.210318341251165	0.95832551154496	0.210318341251165	0.533323939692828	0.803657767500525	0.974551159142409	0.95832551154496	0.67699727806695	1	0.938300125132352	0.999845655193703	1
0.452901353965184	0.622687693110228	0.452901353965184	0.203950133071859	0.861733400912316	0.802667826591271	0.622687693110228	0.596439759335687	0.987463182539083	0.925005013033888	0.99097721364123	0.987662444481
0.279875501679089	0.98258992304746	0.279875501679089	0.18903905429665	0.719024140359864	0.99964393804522	0.98258992304746	0.720142905750255	0.914545966757442	0.516869996187571	0.92902767920511	0.625921345535494
0.39555488812134	0.940982281209998	0.39555488812134	0.481559343722865	0.646987218502739	0.808355367530407	0.940982281209998	0.816719422967153	0.999695145187105	0.877321865854387	0.999691310387405	0.99983385944509
0.352943400506635	0.948466702957721	0.352943400506635	0.126094570928196	0.647213645796427	0.907106399685905	0.948466702957721	0.63401819657426	0.934655864314379	0.635014126322846	0.949563826139957	0.893884963088706
0.313232228850715	0.970024123067189	0.313232228850715	0.39590489360753	0.579965129180536	0.99857625912084	0.970024123067189	0.59591667530314	0.974949960574998	0.63231961836613	0.928133857547773	0.958232730237371
0.559553287179746	0.964570416297608	0.559553287179746	0.228637818405016	0.45240988254354	0.856452850629711	0.964570416297608	0.485380116959064	0.999390383296502	0.581806775407779	0.999382716049383	0.999335548172758
0.225777817229595	0.953769806721226	0.225777817229595	0.670564195708934		0.719464743285565	0.953769806721226	0.74840402273721	0.961021006844927	0.855983772819473	0.893062995863565	0.910828025477707
